z mu errmu z mu errmu z mu errmu
0.03351 35.1195 0.933638 1.44 43.2858 0.95932 2.199 46.4216 1.06071
0.125 38.6856 1.84671 1.4436 43.8132 1.01313 2.2 44.9272 0.931098
0.17 38.4667 1.03564 1.46 44.1083 1.11878 2.20 46.8579 0.931104
0.25 39.9357 1.38443 1.48 43.9951 1.0662 2.22 45.2389 1.20041
0.3399 40.6749 0.95616 1.48 43.5582 0.929143 2.26 43.8782 0.929903
0.36 42.9717 1.07033 1.489 45.0134 1.043 2.27 45.029 0.935913
0.41 40.8059 1.1032 1.52 42.871 0.978916 2.296 45.502 1.15448
0.414 42.8313 1.21619 1.547 45.9243 0.946461 2.3 46.2112 1.2461
0.434 41.5047 0.985045 1.547 44.0644 0.973486 2.346 46.8641 1.16259
0.45 41.8452 1.0036 1.563 42.781 1.69995 2.433 46.867 1.09682
0.49 39.7308 0.946699 1.567 43.8473 0.927328 2.452 47.364 1.13965
0.5295 42.6995 1.03825 1.6 44.1755 1.0596 2.486 44.8287 0.944518
0.54 39.9036 0.925708 1.604 46.5316 0.962389 2.488 45.181 0.942494
0.542 41.4047 0.975989 1.608 46.8731 1.03718 2.512 45.5879 0.934876
0.543 42.2564 1.32376 1.613 44.6927 0.948442 2.58 44.4939 0.943808
0.544 42.0376 0.927353 1.619 44.3532 0.946002 2.591 46.1254 0.958853
0.55 42.5063 0.951189 1.64 45.0375 0.958753 2.615 45.9102 1.00661
0.606 41.6888 0.940851 1.6919 43.2837 1.03666 2.65 45.6525 1.00258
0.618 43.7538 1.07668 1.71 45.675 0.960875 2.671 45.3823 0.943181
0.6528 41.8718 1.00894 1.727 43.2599 0.973643 2.69 46.1013 1.16024
0.677 43.7533 0.983363 1.728 44.3889 0.946023 2.752 45.5087 1.07352
0.689 43.868 0.93225 1.728 44.3889 0.946023 2.77 46.0964 0.9302
0.69 42.2854 0.928094 1.77 42.9739 0.944986 2.821 46.6406 0.937652
0.695 43.1984 1.11582 1.798 44.5549 0.94189 2.83 46.6737 0.930181
0.706 41.2777 0.945272 1.8 45.3824 0.948821 2.893 47.598 1.08191
0.716 40.4242 0.95484 1.822 44.7661 0.925467 2.8983 45.3038 1.02857
0.716 41.2868 1.01881 1.858 45.1695 1.23345 3. 46.1498 1.10789
0.736 44.393 0.9305 1.858 45.1695 1.23345 3.036 46.0503 0.959184
0.78 40.8528 0.974974 1.8836 46.2739 1.28842 3.038 44.8963 1.19331
0.8 42.3122 1.13123 1.9 45.7854 1.13272 3.075 46.7497 1.03846
0.8049 44.9536 0.94066 1.9229 44.6651 1.11463 3.2 45.7872 1.11734
0.82 42.816 0.942884 1.95 46.5089 1.08858 3.22 45.5887 1.00027
0.835 44.1715 1.08963 1.9685 44.6084 0.999689 3.35 47.5973 0.954116
0.842 42.7009 1.09192 1.98 44.5553 1.02204 3.36 47.7168 1.01118
0.846 43.8624 0.92956 2.05 46.8257 1.31834 3.37 47.4274 1.22111
0.859 43.1051 1.13207 2.07 43.9293 0.936188 3.42 47.0429 0.996013
0.8969 44.5543 0.999868 2.0858 44.6893 1.56663 3.424 47.0792 1.05247
0.937 42.9071 0.931116 2.088 45.8633 0.983381 3.5 46.7831 1.23155
0.947 42.1526 1.03421 2.106 46.3176 0.965919 3.5 45.2884 0.974999
0.958 42.9866 1.00157 2.1062 43.7433 0.925125 3.5328 46.978 1.1415
0.966 44.2503 0.957411 2.14 44.7932 0.957566 3.57 45.8457 0.986639
0.971 42.7535 1.19374 2.145 47.4073 0.984835 3.6 45.6286 1.09246
