GalaxyName           IDSN          RA               DEC      z      TU        taum   etaum    taul   etaul    zmetm   ezmetm   zmetl  ezmetl    mfor   emfor    mact   emact    vsys          evsys   sigma  esigma      x1     ex1       c      ec      mu      emu   S
 1237663782589825148   8151           6.961914     -1.198235  0.0130  13.1143    5.822   0.000   3.161   0.000   0.658   0.000   0.693   0.000   9.640   0.000   9.410   0.000     -1.11     73.43     81.05      0.00  -1.250   0.140   0.030   0.030  34.550   0.270  1
 1237663238739985091   17784         52.461662      0.056757  0.0371  12.7895    5.733   0.000   2.282   0.000   0.865   0.000   0.270   0.000   9.500   0.000   9.290   0.000     23.07     74.63     97.60      0.10  -0.800   0.110   0.050   0.030  36.110   0.200  1
 1237663782592971055   16280         14.121588     -1.226804  0.0382  12.7750   12.310   0.002  11.580   0.003   1.230   0.001   0.916   0.000  10.460   0.000  10.200   0.000      8.64    180.30    201.20      0.00  -2.380   0.340   0.230   0.030  36.140   0.200  1
 1237666302167810120   17886         54.006268      1.103300  0.0407  12.7420   11.790   0.000  11.390   0.000   0.910   0.000   0.762   0.000  11.510   0.000  11.260   0.000     10.41    240.40    282.20      0.00  -1.670   0.150   0.150   0.030  36.670   0.200  1
 1237680001450967225   20208         32.389839     -1.000681  0.0434  12.7065    2.158   0.000   1.093   0.000   0.320   0.000   0.415   0.000   9.730   0.000   9.560   0.000    -25.44     98.83     61.59      2.08  -2.880   0.130   0.080   0.050  39.120   0.210  1
 1237666339726688378   14279         18.488691      0.371556  0.0454  12.6803    9.407   0.002   5.341   0.004   0.979   0.002   0.938   0.001  10.810   0.000  10.580   0.000      1.01     97.29    128.80      0.02  -0.240   0.070   0.090   0.020  36.320   0.190  1
 1237663783673331885   5944          29.199711     -0.213787  0.0459  12.6737   11.150   0.000   8.380   0.001   1.293   0.001   0.934   0.000  11.370   0.000  11.120   0.000     -7.10    223.90    144.90     22.04   0.690   0.060  -0.020   0.020  36.580   0.190  1
 1237678596463329690   12780        322.154541      1.228042  0.0494  12.6281   11.030   0.001   7.799   0.001   1.240   0.000   0.963   0.000  10.780   0.000  10.520   0.000      5.40     93.60    110.70     19.68  -1.610   0.190   0.230   0.040  36.750   0.200  1
 1237663783671169173   19968         24.348692     -0.312093  0.0559  12.5439    7.748   0.000   7.790   0.000   1.248   0.000   0.720   0.000  11.170   0.000  10.920   0.000     -2.59     58.16    106.20     18.87  -1.700   0.220  -0.040   0.030  36.900   0.190  1
 1237663782596247735   6558          21.701651     -1.238144  0.0574  12.5246   11.110   0.000   6.026   0.000   0.645   0.000   1.100   0.000  10.050   0.000   9.780   0.000    -20.32     80.68    110.80      4.24   1.010   0.140  -0.030   0.020  37.080   0.190  1
 1237657189814371443   16314        320.928864     -0.843530  0.0626  12.4580    9.317   0.000   1.406   0.000   0.173   0.000   0.677   0.000   9.250   0.000   8.990   0.000    -64.30     75.48    114.30      0.00   0.360   0.350  -0.080   0.020  37.180   0.190  1
 1237663784203911302   3901          14.850386      0.002523  0.0629  12.4542    4.482   0.002   1.427   0.000   0.118   0.000   0.191   0.000   9.700   0.000   9.520   0.000    -22.61     80.88    101.90      0.02   1.010   0.100   0.030   0.020  37.200   0.180  1
 1237663783661797781   17745          2.960156     -0.339279  0.0634  12.4478    0.530   0.001   0.308   0.000   0.107   0.002   0.452   0.001   8.520   0.000   8.410   0.000    -46.63    116.10    120.90      0.09   1.020   0.160  -0.040   0.030  37.280   0.190  1
 1237663783130824890   18890         16.444405     -0.758903  0.0665  12.4084   12.060   0.000  10.330   0.000   0.868   0.000   0.690   0.000  10.480   0.000  10.230   0.000      0.07    117.00    158.80      0.00  -2.320   0.190   0.290   0.040  37.650   0.200  1
 1237666299482800352   6057          52.553547     -0.974675  0.0671  12.4008    9.776   0.000   3.806   0.000   1.081   0.000   0.270   0.000  10.290   0.000  10.040   0.000    -41.30     78.55    101.30      0.09  -0.400   0.120   0.100   0.030  37.370   0.190  1
 1237656567045554349   16333        328.993652     -1.070227  0.0719  12.3402    5.121   0.000   4.498   0.000   1.059   0.000   1.250   0.000  10.380   0.000  10.170   0.000     -2.04     96.35    117.70      0.00   0.360   0.520   0.070   0.030  37.350   0.200  1
 1237678617974407253   17880         44.972271      1.160633  0.0727  12.3301   11.770   0.002   6.734   0.003   1.311   0.001   0.696   0.001  10.870   0.000  10.610   0.000     -3.62     86.76    139.90      0.00  -0.850   0.120   0.140   0.030  37.490   0.180  1
 1237663204922556514   7876          19.182375      0.794522  0.0760  12.2887    8.920   0.008   3.546   0.006   0.999   0.006   0.400   0.003  10.790   0.000  10.550   0.000     -1.68     89.69     86.03      0.01   0.510   0.130  -0.020   0.020  37.660   0.180  1
 1237663784211054870   19155         31.266436      0.174465  0.0776  12.2687    9.924   0.005   4.753   0.013   1.408   0.001   1.175   0.007  11.120   0.000  10.880   0.000     18.74     88.34    152.10      0.00   1.200   0.150  -0.100   0.020  37.840   0.180  1
 1237666406845644893   17186         31.612720     -0.899625  0.0794  12.2462   10.090   0.016   4.111   0.006   1.185   0.002   0.674   0.007  11.210   0.000  10.970   0.000     18.07    150.20    118.60      0.13   0.570   0.150   0.100   0.020  38.130   0.180  1
 1237656896139690939   12779        309.471771      1.221038  0.0799  12.2400    9.749   0.002   7.763   0.001   0.911   0.000   0.719   0.000  11.010   0.000  10.770   0.000      6.97    288.60    107.00     35.68  -0.560   0.120   0.090   0.030  37.870   0.190  1
