"Name","mmax","Mmax","z","dL (Mpc)"
"SN2019hcn","17.5","-17","0.018","80.8"
"ASASSN-19dx","17.7","-18.6518","0.041665","190.207"
"SN2013K","17.7","-15.068","0.008066","35.918"
"SN2017erv","16.2","-18.1963","0.017035","76.3712"
"GRB 111229A","","","1.3805","10109.2"
"SN2018wh","17.71","-19.0486","0.050148","230.332"
"SN2016izf","17.17","-18.7","0.034","154"
"SN2013ch","15.2","-17.4","0.0073","32.5"
"SN2006ai","16.3","-17.93","0.0158","70.77"
"SN2017azw","16.33","-18","0.02","90"
"SN2012ah","14.6","-19.1","0.0124","55.4"
"SN1992ao","17","-16.6","0.012","53.6"
"GRB 080906A","","","2","16000"
"ASASSN-15um","16","-19","0.02","90"
"OGLE-2014-SN-188","18.95","-18","0.06","280"
"SN2007as","15.8","-18.7039","0.017896,0.017896","80.283"
"MASTER OT J193047.39-795628.3","17.2","-15.888","0.009345","41.653"
"PSN J08123984-7953078","17.2","-16.903","0.01489","66.647"
"OGLE-2013-SN-004","18.61","-19","0.06","280"
"SN2010E","17","-17.1","0.0154","68"
"SN2018fuk","16.08","-18.3852","0.017582","78.8558"
"SN2017aut","16.4","-18.0215","0.017233","77.2703"
"GRB 140614A","","","4.233","39239"
"SN2016dag","17","-17.666","0.01928","86.581"
"AT2016bmg","17","-16.981","0.01408","62.984"
"SN2004ch","16","-16.6","0.009","34"
"GRB 070508A","","","0.82","5320"
"PSN J20540830-7820035","17.1","-19","0.03","140"
"OGLE-2014-SN-024","19.69","-19","0.1","480"
"OGLE-2015-SN-060","18.95","-18.9","0.081","380"
"ASASSN-15hs","16.6","-16.429","0.009096","40.536"
"OGLE-2015-SN-024","19.17","-18.5","0.075","351"
"SN2018bwd","17.53","-16.4","0.014","62.6"
"SN2018bl","16.84","-17.6541","0.017816","79.9193"
"OGLE-2013-SN-044","18.75","-18.7","0.068","316"
"OGLE-2013-SN-135","19.18","-17.9","0.057","263"
"PSN J17194328-7721305","14.4","-19","0.009","40"
"OGLE-2014-SN-131","19.94","-18","0.085","400"
"OGLE-2013-SN-141","18.48","-18","0.05","230"
"OGLE15eb","17.28","-18.5502","0.032839","148.956"
"SN2009J","18.68","-14.6","0.0158","45"
"SN2009iw","14.6","-18.7","0.0159","45"
"AT2017ewt","16.9","-17.131","0.01441","64.476"
"SN2018be","19.28","-19.92","0.151","741.6"
"OGLE-2014-SN-053","19.46","-19.2","0.12","578"
"SN2018brz","15.98","-18.7","0.019","85.3"
"OGLE-2013-SN-080","19.6","-18.75","0.103","490.6"
"SN2019esa","13.8","-18.284","0.005891","26.189"
"SN2001ke","23","-18.16","0.362","1991"
"SN2016jab","16.3","-18.6","0.0215","96.71"
"OGLE-2014-SN-078","19.13","-19","0.09","420"
"OGLE-2014-SN-186","19","-18","0.07","330"
"Gaia17blx","17.1","-17.0886","0.015487","69.3507"
"SN2013H","16.5","-17.6886","0.015487","69.3507"
"OGLE-2013-SN-148","19.46","-17","0.043","196"
"OGLE-2014-SN-141","18.48","-18.8","0.063,0.062","292"
